total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
1.40667e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.464115,0,1,0,0,1,0,0,0,0,0,1,0:1;
2.5034e-05,0,0,0,9.53674e-07,1,0,1,0,1,0,0,0,0,0,0.015,0.345144,1,1,0,0,1,0,0,0,0,0,1,0:1;
3.40939e-05,0,0,0,9.53674e-07,5,0,5,9.53674e-07,5,9.53674e-07,0,1.90735e-06,4,24,0.015,0.172895,1,5,0,448,4,0,0,4,0,0,1,0:1;1:4;
3.91006e-05,0,0,0,1.90735e-06,7,0,7,9.53674e-07,7,9.53674e-07,0,1.90735e-06,6,36,0.015,0.0484928,1,7,0,672,6,0,0,6,0,0,1,0:1;1:6;
4.31538e-05,0,0,0,1.90735e-06,8,0,8,9.53674e-07,8,9.53674e-07,0,1.90735e-06,7,42,0.015,0.0484928,1,8,0,784,7,0,0,7,0,0,1,0:1;1:7;
0.000137091,0.000117064,0,0.000113964,1.97887e-05,476,2.26498e-05,188,1.00136e-05,118,3.8147e-06,1,2.26498e-05,117,702,0.015,0.0484928,1,118,1,13104,117,1,0,117,0,0,1,1:117;
0.000144005,0.000117064,0,0.000113964,1.97887e-05,476,2.26498e-05,188,1.00136e-05,118,3.8147e-06,1,2.26498e-05,117,702,0.015,0.0484928,1,118,1,13104,117,1,0,117,0,0,1,1:111;
0.0268052,0.0265031,0.000174999,0.0262957,0.0154257,347217,0.00214267,34779,6.48499e-05,771,3.05176e-05,765,0.000219345,1164,10125,0.269234,0.0484928,1,0,33,85568,0,0,0,770,0,0,1,
0.0268431,0.0265031,0.000174999,0.0262957,0.0154257,347217,0.00214267,34779,6.48499e-05,771,3.05176e-05,765,0.000219345,1164,10125,0.269234,0.0484928,1,0,33,85568,0,0,0,770,0,0,1,
0.026994,0.0265031,0.000174999,0.0262957,0.0154257,347217,0.00214267,34779,6.48499e-05,771,3.05176e-05,765,0.000219345,1164,10125,0.269234,0.0484928,1,0,33,85568,0,0,0,770,0,0,1,
